s,Z
286.881,588.077
287.809,588.075
288.74,588.07
289.672,588.07
290.6,588.069
291.524,588.057
292.453,588.053
293.383,588.06
294.305,588.043
295.226,588.037
296.146,588.048
297.053,588.039
297.969,588.035
298.894,588.039
299.8,588.089
300.725,588.042
301.643,588.029
302.558,588.023
303.475,588.016
304.389,588.006
305.301,588.005
306.214,588.004
307.131,588.005
308.051,587.996
308.976,588.006
309.887,587.998
310.799,587.991
311.725,587.993
312.643,587.991
313.556,587.984
314.474,587.979
315.395,587.984
316.32,587.977
317.234,587.964
318.156,587.975
319.08,587.963
320.006,587.958
320.93,587.957
321.855,587.953
322.787,587.949
323.718,587.935
324.643,587.923
325.563,587.912
326.483,587.904
327.415,587.907
328.345,587.9
329.276,587.906
330.199,587.899
331.138,587.908
332.082,587.912
333.029,587.904
333.979,587.886
334.923,587.873
335.86,587.865
336.79,587.857
337.731,587.862
338.686,587.871
339.64,587.865
340.596,587.871
341.546,587.871
342.497,587.864
343.46,587.858
344.417,587.866
345.372,587.857
346.333,587.854
347.302,587.853
348.271,587.842
349.232,587.831
350.195,587.832
351.149,587.83
352.112,587.837
353.079,587.841
354.061,587.846
355.034,587.841
356.003,587.839
356.973,587.836
357.946,587.838
358.925,587.835
359.906,587.829
360.883,587.819
361.86,587.817
362.832,587.808
363.809,587.801
364.788,587.802
365.769,587.806
366.749,587.803
367.731,587.8
368.712,587.805
369.697,587.809
370.688,587.805
371.676,587.8
372.662,587.8
373.642,587.8
374.629,587.811
375.613,587.81
376.604,587.815
377.59,587.815
378.578,587.816
379.566,587.82
380.555,587.822
381.542,587.833
382.535,587.832
383.524,587.831
384.511,587.831
385.502,587.837
386.492,587.834
387.487,587.828
388.489,587.822
389.488,587.813
390.479,587.806
391.47,587.8
392.455,587.795
393.445,587.799
394.442,587.793
395.442,587.786
396.439,587.776
397.425,587.775
398.412,587.775
399.402,587.79
400.392,587.796
401.386,587.807
402.387,587.808
403.386,587.807
404.38,587.796
405.372,587.791
406.364,587.783
407.363,587.779
408.361,587.782
409.352,587.777
410.355,587.771
411.36,587.776
412.361,587.76
413.37,587.758
414.375,587.742
415.38,587.734
416.388,587.724
417.396,587.721
418.406,587.709
419.414,587.706
420.429,587.689
421.444,587.681
422.465,587.668
423.479,587.665
424.485,587.662
425.498,587.664
426.514,587.674
427.537,587.686
428.563,587.685
429.591,587.679
430.617,587.678
431.642,587.664
432.669,587.653
433.696,587.646
434.712,587.635
435.734,587.629
436.767,587.627
437.805,587.625
438.835,587.609
439.864,587.604
440.891,587.594
441.925,587.585
442.961,587.579
443.996,587.562
445.032,587.553
446.065,587.539
447.099,587.535
448.136,587.531
449.181,587.523
450.224,587.518
451.254,587.506
452.288,587.503
453.328,587.513
454.373,587.517
455.408,587.512
456.449,587.511
457.488,587.503
458.53,587.493
459.57,587.485
460.602,587.486
461.636,587.476
462.677,587.478
463.723,587.471
464.763,587.473
465.803,587.468
466.84,587.455
467.878,587.449
468.916,587.444
469.946,587.439
470.986,587.44
472.024,587.444
473.063,587.442
474.103,587.445
475.138,587.447
476.176,587.442
477.213,587.442
478.258,587.442
479.299,587.436
480.332,587.435
481.362,587.427
482.399,587.429
483.446,587.428
484.484,587.426
485.521,587.416
486.563,587.411
487.608,587.397
488.647,587.383
489.682,587.375
490.717,587.367
491.758,587.369
492.802,587.356
493.844,587.356
494.886,587.346
495.929,587.339
496.975,587.335
498.019,587.331
499.065,587.33
500.107,587.334
501.154,587.334
502.209,587.338
503.264,587.323
504.317,587.31
505.36,587.297
506.398,587.294
507.444,587.303
508.496,587.308
