s,g
0,0.0008
11.819,0.0008
24.169,0.0049
37.071,-0.0023
50.417,0.0045
64.185,0.0073
78.23,0.0356
92.22,0.0515
106.202,0.0551
120.259,0.0505
134.575,0.0468
149.208,0.0492
164.155,0.0515
179.362,0.0519
194.829,0.0478
210.514,0.0523
226.446,0.0534
242.553,0.0484
258.881,0.0478
275.413,0.0514
292.094,0.0528
308.933,0.0475
325.964,0.0464
343.159,0.0454
360.561,0.0494
378.003,0.0057
395.774,0.0355
413.797,0.0322
431.928,0.011
589.421,0.0123
610.48,-0.0033
631.59,-0.0066
652.5,-0.0077
673.282,-0.0048
694.073,-0.0063
714.982,-0.0349
735.939,-0.0067
756.966,-0.0076
778.037,-0.0052
799.172,-0.0076
820.342,-0.0066
841.534,0.0099
862.786,-0.0122
884.021,-0.0462
905.316,-0.0188
926.447,-0.0227
947.392,-0.0248
968.345,0.001
989.048,-0.0304
1009.652,-0.0359
1030.216,-0.0404
1050.737,-0.0424
1071.253,-0.0395
1091.741,-0.0405
1112.2,-0.0401
1132.612,-0.0377
1152.952,-0.0364
1173.331,-0.053
1193.891,-0.0326
1214.07,-0.0297
1234.333,-0.0395
1254.673,-0.0403
1275.058,-0.0378
1295.497,-0.0382
1315.967,-0.0376
1336.415,-0.0401
1356.788,-0.0344
1376.761,-0.0135
1458.236,-0.0357
1478.117,-0.0246
1497.785,-0.0198
1517.238,-0.017
1536.48,-0.0301
1557.029,-0.0886
1687.509,0.002
1706.463,-0.019
1725.529,-0.0309
1744.795,-0.0306
1764.272,-0.0334
1783.957,-0.033
1803.837,-0.0347
1823.914,-0.0329
1844.257,-0.0388
1864.682,-0.0274
1885.225,-0.0258
1905.809,-0.0194
1926.276,-0.0112
1946.729,-0.0156
1967.049,-0.0108
1987.212,-0.0079
2007.191,-0.0085
2027.02,-0.0076
2046.667,-0.0046
2066.121,-0.0067
2085.402,-0.0078
2104.535,-0.0078
2123.475,-0.0074
2142.26,-0.0069
2160.858,-0.0086
2179.312,-0.0065
2197.604,-0.0098
2215.788,-0.0099
2233.904,-0.0121
2252.057,-0.0204
2270.299,-0.0181
2288.666,-0.0234
2307.093,-0.0613
2325.729,-0.0279
2344.57,-0.0318
2363.608,-0.0357
2382.894,-0.0321
2402.44,-0.0414
2422.284,-0.0459
2442.439,-0.0471
2462.944,-0.0522
2483.805,-0.0518
2504.995,-0.0529
2526.515,-0.0507
2548.293,-0.056
2570.31,-0.0468
2592.439,-0.0407
2614.578,-0.0375
2636.618,-0.0345
2658.623,-0.0295
2680.611,-0.0273
2702.516,-0.0224
2724.322,-0.0179
2745.988,-0.0162
2767.501,-0.0102
2788.823,-0.0094
2810.056,-0.0052
2831.25,-0.0014
2852.321,0.0028
2873.252,0.0043
2894.022,0.0072
2914.643,0.0078
2935.1,0.0054
2955.404,0.0054
2975.606,0.0035
2995.732,0.0015
3015.846,0.0005
3035.93,-0.003
3056.025,-0.0035
3076.125,-0.0065
3096.23,-0.0055
3116.308,-0.0055
3136.391,-0.007
