              L,     Z,     P
262,910.734,-0.5523
263,910.728,-0.5323
264,910.723,-0.5123
264.615,910.72,-0.5
265,910.718,-0.5
266,910.713,-0.5
267,910.708,-0.5
268,910.703,-0.5
269,910.698,-0.5
270,910.693,-0.5
271,910.688,-0.5
272,910.683,-0.5
273,910.678,-0.5
274,910.673,-0.5
275,910.668,-0.5
276,910.663,-0.5
277,910.658,-0.5
278,910.653,-0.5
279,910.648,-0.5
280,910.643,-0.5
281,910.638,-0.5
282,910.633,-0.5
283,910.628,-0.5
284,910.623,-0.5
285,910.618,-0.5
286,910.613,-0.5
287,910.608,-0.5
288,910.603,-0.5
289,910.598,-0.5
290,910.593,-0.5
291,910.588,-0.5
292,910.583,-0.5
293,910.578,-0.5
294,910.573,-0.5
295,910.568,-0.5
296,910.563,-0.5
297,910.558,-0.5
298,910.553,-0.5
299,910.548,-0.5
300,910.543,-0.5
301,910.538,-0.5
302,910.533,-0.5
303,910.528,-0.5
304,910.523,-0.5
305,910.518,-0.5
306,910.513,-0.5
307,910.508,-0.5
308,910.503,-0.5
309,910.498,-0.5
310,910.493,-0.5
311,910.488,-0.5
312,910.483,-0.5
313,910.478,-0.5
314,910.473,-0.5
315,910.468,-0.5
316,910.463,-0.5
317,910.458,-0.5
318,910.453,-0.5
319,910.448,-0.5
320,910.443,-0.5
321,910.438,-0.5
322,910.433,-0.5
323,910.428,-0.5
324,910.423,-0.5
325,910.418,-0.5
326,910.413,-0.5
327,910.408,-0.5
328,910.403,-0.5
329,910.398,-0.5
330,910.393,-0.5
331,910.388,-0.5
332,910.383,-0.5
333,910.378,-0.5
334,910.373,-0.5
335,910.368,-0.5
336,910.363,-0.5
337,910.358,-0.5
338,910.353,-0.5
339,910.348,-0.5
340,910.343,-0.5
341,910.338,-0.5
342,910.333,-0.5
343,910.328,-0.5
344,910.323,-0.5
345,910.318,-0.5
346,910.313,-0.5
347,910.308,-0.5
348,910.303,-0.5
349,910.298,-0.5
350,910.293,-0.5
351,910.288,-0.5
352,910.283,-0.5
353,910.278,-0.5
354,910.273,-0.5
355,910.268,-0.5
356,910.263,-0.5
357,910.258,-0.5
358,910.253,-0.5
359,910.248,-0.5
360,910.243,-0.5
361,910.238,-0.5
362,910.233,-0.5
363,910.228,-0.5
364,910.223,-0.5
365,910.218,-0.5
366,910.213,-0.5
367,910.208,-0.5
368,910.203,-0.5
369,910.198,-0.5
370,910.193,-0.5
371,910.188,-0.5
372,910.183,-0.5
373,910.178,-0.5
374,910.173,-0.5
375,910.168,-0.5
376,910.163,-0.5
377,910.158,-0.5
378,910.153,-0.5
379,910.148,-0.5
380,910.143,-0.5
381,910.138,-0.5
382,910.133,-0.5
383,910.128,-0.5
384,910.123,-0.5
385,910.118,-0.5
386,910.113,-0.5
387,910.108,-0.5
388,910.103,-0.5
389,910.098,-0.5
390,910.093,-0.5
391,910.088,-0.5
392,910.083,-0.5
393,910.078,-0.5
